,feature,coefficient
1,adjusted_average_bert_pred_prob_pos,11.912290335626743
4,console_GameCube,1.2201601883754691
20092,story,0.9144524215718436
7433,expansion,0.8992421348180443
15762,players,0.7545242213870622
18985,sims,0.7440350389045527
3497,car,0.7222302204454049
16,console_Xbox,0.7191251765579572
7991,final,0.7171877685718168
6896,empire,0.7096508476316749
15225,past,0.709418502390557
14029,need,0.7060441929646055
13,console_PlayStation Portable,0.7027598103285689
15033,pack,0.6989494500763532
2340,battles,0.686558220640739
8759,gamers,0.6847951490217304
15289,pc,0.6715152019670548
17566,returns,0.6649214538091377
13519,monsters,0.6585175016358914
8747,gameplay,0.6511821656585618
5835,destroy,0.6431344974677838
18208,save,0.6409192343501934
7686,family,0.6338826123179582
23488,worlds,0.6332434972263852
9936,hero,0.626938844544665
20147,strategy,0.6254797641624139
9256,graphics,0.6072635487234082
18464,secrets,0.6058283377843211
958,advanced,0.580369140927744
1118,air,0.5762380321323719
898,additional,0.5579572183128267
22606,vehicles,0.5524526390622145
3825,characters,0.5507391183740213
12665,make,0.5475379039263905
13126,metal,0.5464562352108364
6841,elite,0.5287499550151246
9573,halo,0.5028419481616303
5407,dangerous,0.49530951447080585
7484,explore,0.494405503261046
21610,tracks,0.49416216440881366
16601,puzzles,0.4922455098882279
690,able,0.4919373264870778
10666,included,0.4816275664198247
16789,rainbow,0.47736011533468814
18625,seven,0.4728924002677646
22929,want,0.47191424272938126
7296,everquest,0.46647770888908313
21573,tournament,0.4628206008321673
9468,guitar,0.45720532840244826
4228,clues,0.45666745301815326
3419,campaigns,0.45306932784895204
16784,railroad,0.451971077717439
8294,force,0.45162175984646147
5855,details,0.45069892639012166
23469,world,0.4504429917399767
10490,iii,0.44949508559784973
414,360,0.44916883234608423
7963,fighting,0.4487520641619748
824,action,0.4485404017543412
22950,warfare,0.4472918797416257
12696,man,0.44614936188701926
13865,mystery,0.4456501840766249
6478,drive,0.4455171244903726
5631,defense,0.44121051575334647
2177,ball,0.4401207282365495
15416,person,0.43924099964061425
3575,cars,0.43719346845327495
18126,sam,0.43606699722206743
10670,includes,0.4326150577225033
13880,mythology,0.4305750043728341
15165,paris,0.4299805623550932
6637,ea,0.4286420889299882
9230,grand,0.4263690393600943
17498,restaurant,0.42457184757107413
7149,epic,0.42417232666321286
2059,awardwinning,0.422995039585556
1841,assume,0.42219406756152517
22988,wars,0.4218764575708731
13668,moves,0.4217980704370826
1051,age,0.41757266170300633
2857,bond,0.4169801869693451
2923,boss,0.41631801762523873
14200,nintendosforsalecom,0.4161885250108636
20620,sword,0.4101325941854228
22243,unleash,0.40952030100711667
11870,landing,0.40877356629698763
19743,sports,0.4067734369331931
18964,simcity,0.40558544645331596
13372,missions,0.40494138796520707
4764,continues,0.403735369268677
15618,pirates,0.4028571878710698
1228,allows,0.40260082342959397
9953,hes,0.40160417206253185
6978,enemies,0.4003265573887263
22871,vs,0.39948102827100085
17076,red,0.39840736352843886
8981,ghosts,0.39823316765801475
21648,training,0.3975875895977029
7722,far,0.3970354065395037
23291,wild,0.39677940369692366
2870,bonus,0.3967415701841706
10024,highly,0.39585911225917925
3974,choice,0.3950527414048138
4984,courses,0.3947112261071566
17584,revenge,0.3898363922784307
1999,auto,0.3894545448800314
10951,installment,0.38905367451491607
6487,drivers,0.38878700502778496
21586,town,0.38801655172981775
20798,task,0.38082162644255946
10375,hundreds,0.3797954682722188
21988,types,0.37828419420691456
15825,plenty,0.3769066765415381
6396,dragons,0.3766941020922492
12345,locations,0.3752461257059888
6493,driving,0.37517278606636506
8862,gear,0.37477765708886834
17846,role,0.371882529180902
1120,airborne,0.37093135112202397
20950,tennis,0.37091751111282456
12669,makes,0.37062755580702594
22569,various,0.3675550079933825
8834,gate,0.36718352789005887
12300,live,0.36473016285212195
14197,nintendo,0.36406030247521454
13819,music,0.3636709387243188
13863,mysterious,0.3636010146702005
17302,remote,0.35848833047396894
3280,business,0.3566987981039983
14113,neverwinter,0.3561218017864157
9560,halflife,0.3555990583060152
22285,unravel,0.3554978617828568
18648,shadow,0.35392942149459006
18487,seek,0.3533958506177111
1251,alpha,0.3520165547862322
12241,line,0.3515068018026731
13909,nancy,0.35055242418847277
6901,empires,0.3493959108574163
20698,tactics,0.3471209212253026
825,actionadventure,0.3469052869270203
5517,death,0.3454766205433454
10910,innovative,0.34526993846461507
21179,things,0.3430158954195036
4842,cooperative,0.34233945120099035
17611,revolution,0.3423310023820036
2174,baldurs,0.34081172560237794
22794,visual,0.3406439448413723
22702,victory,0.3398938563500627
2968,box,0.33626321185960534
272,2003,0.3361652472134498
18447,second,0.335019495656691
13986,nba,0.33488625002272643
10358,humanity,0.3345803024296887
11765,kombat,0.3343191560435719
11228,island,0.3335825170611575
21233,threatens,0.3334042213465326
22981,warrior,0.33225131056741175
23502,worms,0.3316728718631168
1213,allied,0.3305674519475686
3890,check,0.330149952791462
9436,guaranteed,0.329016201297138
22942,warcraft,0.3290005817923623
1700,armed,0.32785380321973595
13500,monkey,0.3274200963660161
10254,horse,0.326734514840187
7208,escape,0.32622315522708567
21175,thieves,0.32523151279168955
16817,rampage,0.3252054777890622
7714,fantasy,0.32412153258835263
22715,vietnam,0.32384691014206873
