,productid,title,price,description,console,console_Game Boy Advance,console_Game Boy Color,console_GameCube,console_Nintendo 64,console_Nintendo DS,console_Nintendo Wii,console_PC & Mac,console_PlayStation,console_PlayStation 2,console_PlayStation 3,console_PlayStation Portable,console_Sega Dreamcast,console_Sega Genesis,console_Super Nintendo,console_Xbox,console_Xbox 360,price_normalised,average_score,average_bert_pred_prob_pos,average_bert_pred_prob_nonpos,average_sentiment_vader,review_counts,average_sentiment_score,average_sentiment_label,adjusted_average_score,adjusted_average_sentiment_score,adjusted_average_sentiment_label,adjusted_average_bert_pred_prob_pos,adjusted_average_bert_pred_prob_nonpos,adjusted_average_sentiment_vader
0,B0002IQD3I,Urbz: Sims In The City,25.57,the sims have moved to the city where action is 247 and reputation means everything sims who live in the city are known as urbz and they have a bold new look and attitude go to work and be challenged by bosses at locations like the sushi bar chop shop or bootleg fireworks inc success at work brings promotions access to new power socials and gear to influence your new lifestyle flaunt your attitude by styling your urbz using the detailed new character engine then cross the velvet ropes of an uptown night club or explore the subway to earn new skills and items for your highrise crib its up to you whether your urbz become bigtime players on the street or are lost in the crowd its all about reputation as the urbz are living the dream in a city that never sleeps,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.004147553,3.7,0.545950759,0.454049254,0.83031,10,1,Positive,3.7,1,Positive,0.545950759,0.454049254,0.83031
1,B00005O0I2,GREATEST HITS:Grand Theft Auto III,7.98,"youve been betrayed and left for dead now youre taking revenge unless the city gets you first mob bosses need a favor crooked cops need help and street gangs want you dead youll have to rob steal and kill just to stay out of serious trouble anything can happen out here grand theft auto iii features a fully 3d living city a combination of narrativedriven and nonlinear gameplay and a completely open environment players are put at the heart of their very own gangster movie in which anything can happen and probably will with a cast of hundreds 50plus vehiclesincluding sports cars icecream trucks boats and busesthree hours of music including opera reggae house drum and bass pop and disco a huge array of streetready weapons and some of the seediest characters in video game history grand theft auto iii is a sprawling epic that will show you that sometimes crime can pay and that sometimes it pays you back	welcome to liberty city americas worst city youve been betrayed now youre taking revenge unless the city gets you first mob bosses need a favor crooked cops need help and street gangs want you dead youll have to rob steal and kill just to stay out of serious trouble anything can happen out here with a cast of hundreds more than 50 vehiclesranging from sports cars to ice cream trucks and from boats to buses3 hours of music including opera reggae house drum and bass pop and disco a huge array of streetready weapons and some of the seediest characters in video game history grand theft auto iii is a sprawling epic that will show you that sometimes crime can pay and sometimes it can pay you back",PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.959053781,4.782178218,0.641884664,0.358115342,0.625353465,101,1,Positive,4.782178218,1,Positive,0.641884664,0.358115342,0.625353465
2,B00005NUIW,Time Crisis II,31.97,twoplayer light gun action is here namco brings the arcade hit home complete with guncon2 for added excitement two player splitscreen or link mode or one player doublegun mode includes extra game features for additional challenges,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.343288483,3.428571429,0.518667791,0.481332227,0.267271429,7,1,Positive,3.176470588,1,Positive,0.507686738,0.49231327,0.404170588
3,B00008URUA,Final Fantasy X-2,14.99,join yuna in missionbased nonlinear gameplay as she and her companions travel across spira in this epic final fantasy adventure,PlayStation 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.578502748,3.709677419,0.57116093,0.428839066,0.773201613,62,1,Positive,3.709677419,1,Positive,0.57116093,0.428839066,0.773201613
5,B000MUSG4U,Medal of Honor: Vanguard,31.96,"be the first soldier behind enemy lines join the ranks of the elite 82nd airborne division as corporal frank keegan in medal of honor vanguard from operation husky on the shores of sicily to the operation varsity airdrop inside nazi germany youll jump behind enemy lines to fight the epic wwii battles that turned americas first paratroopers into heroes of wwii featuring spectacular graphics and allout combat intensity medal of honor vanguard makes you the driving force in the struggle to liberate europe features  realistic wwii combattruetolife encounters test your strategies and reflexes on the battlefield should you run and gun in order to storm the axis defenses or should you use your sniper rifle to carefully pick off foes from behind cover the course of the battle is in your hands highfidelity visualsengage the enemy on the most visually stunning medal of honor battlefields to date listen up soldierdynamic ai dialog provides the tactical info you need to survive in an explosive and everchanging war zone combatready controlsairdrop shoot and throw grenades with an innovative control scheme that makes full use of the wiis unique controllers	medal of honor vanguard wii",Nintendo Wii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.342745614,3.25,0.69010403,0.309895959,0.706175,4,1,Positive,3.071428571,1,Positive,0.554315437,0.44568456,0.558907143
6,B00002CF5W,Roller Coaster Tycoon Expansion Pack: Corkscrew Follies,6.95,"this adds new types of roller coasters to rollercoaster tycoon including historic rides like the virginia reel and side friction roller coaster and the latest modern rides like the steel twister roller coaster and steel wild mouse to name a few in addition new scenery including jungle and jurassic themes themed banner signs and new styles of footpaths allow you to make your park even more varied and interestingthis is an addon pack the main rollercoaster tycoon game is required to use it	the smash hit rollercoaster tycoon now has even more fun and laughs with the addition of this complete expansion pack corkscrew follies players will continue to enjoy their favorite simulation with these outlandish rides themes features and scenarios the allnew gameplay of corkscrew follies lets your imagination run wild its a highspirited romp and a worthy addition to this popular favorite",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.014969268,4.3,0.646598455,0.353401531,0.68937,10,1,Positive,4.3,1,Positive,0.646598455,0.353401531,0.68937
7,B0000CNUUP,"The Elder Scrolls III: Morrowind, Game of the Year Edition",29.95,"an epic openended singleplayer rpg morrowind allows you to create and play any kind of character imaginable you can choose to follow the main storyline and find the source of the evil blight that plagues the land or set off on your own to explore strange locations and develop your character based on their actions throughout the game featuring stunning 3d graphics openended gameplay and an incredible level of detail and interactivity morrowind offers a gameplay experience like no other in tribunal you journey to the capital city of morrowind called mournhold to meet the other two godkings of morrowind almalexia and sotha sil your journey will lead you to the clockwork city of sotha sil and massive epicsized dungeons where strange and deadly creatures await you including goblins lich lords and the mysterious fabricants  bloodmoon takes you to the frozen island of solstheim where youll experience snow blizzards and new creatures including frost trolls ice minions and wolvesjust to name a few youll have a choice of stories to follow and have the opportunity to defend the colony take control over how the colony is built up and eliminate the werewolves or you can decide to join the werewolves and become one of them opening up a whole new style of gameplay	the elder scrolls iii morrowind is the most detailed game world ever created where you create and play any kind of character you can imagine morrowind sets a new standard in gaming with its incredible graphics indepth gameplay and innovative character development experience the definitive version of this awardwinning roleplaying game the definitive collection of the best rpg of 2002 including the original morrowind plus both the tribunal and bloodmoon expansions and the elder scrolls construction set",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.233628984,4.392857143,0.555663025,0.44433698,0.847903571,28,1,Positive,4.392857143,1,Positive,0.555663025,0.44433698,0.847903571
8,B0002IQC8Y,Burnout 3 Takedown,29.88,this is the game burnout for the xbox this game may not come with the original case and instructions we stand by our products and offer a 60 day guarantee if a game does not work within 60 days from the time you receive it we will gladly exchange it for you,Xbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.229828902,4.6,0.709772514,0.290227503,0.912,5,1,Positive,3.533333333,1,Positive,0.569924171,0.430075834,0.637333333
9,B0000296ZD,Quake III: Arena,49.95,"this is the highly anticipated next installment in the quake series of adventure games quake 3 arena continues the action of the earlier two games but adds more intense action surreal graphics and a phenomenal multiplayer mode three player classes light medium and heavy with their own strength speed and armor levels together with new characters and weapons plus old favorites such as the bfg make this a thrilling firstperson shooter game the game also features body armor and health kits to help keep you alive quake 3 makes for an exhilarating singleplayer game but to truly discover what makes this game great try out the mulitplayer mode for up to 32 players in oneonone matches or group conquests	this software is brand new packaging may differ slightly from the stock photo above please click on our logo above to see over 15000 titles in stock",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.319366594,4.111111111,0.533250021,0.466749984,0.629827778,18,1,Positive,4.111111111,1,Positive,0.533250021,0.466749984,0.629827778
10,B00009V3KM,The Sims Makin' Magic Expansion Pack,49.99,"beware your sims can now harness the supernatural casting spells with playful or mischievous intentions with a new magical carnivalthemed location over 175 new items and a host of quirky new characters makin magic is the largest sims expansion pack ever new gameplay includes making gathering and questing for ingredients to brew magic spell recipes get help around the house from magical minions turn pesky neighbors into toads or make that hardtoget sim fall in love with you but watch out spells can backfire if youre not careful either way the neighborhood will never be the same  features  new gameplay unlock spells in the family spellbook and mix ingredients to create spells every spell has a unique backfire including toad plagues snakes and lightning strikes new magic town location perform at the side show spook show magic dueling arena and magic trick table to earn magicoins customize spooky and crazy carnival rides for your sims build a magical dream home and live in magic town over 175 new items new mediterraneanthemed kitchen set includes the firstever bakers oven to bake bread cakes and pies build skills and create new spell ingredients with the bee hive spinning wheel gargoyle bench and butter churn grow grapes and berries with vine plots to make and serve nectar new characters turn the gnome and flamingo lawn ornaments into an eager garden helper and sexy hostess summon the skeleton maid to clean your house hatch a pet dragon who will eat everything from garbage to small creatures	with a new magical carnivalthemed location over 175 new items and a host of quirky new characters makin magic is the largest sims expansion pack ever new gameplay includes making gathering and questing for ingredients to brew magic spell recipes",PC & Mac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.321538069,4.625,0.722767685,0.277232313,0.88865,8,1,Positive,3.722222222,1,Positive,0.59900786,0.400992139,0.672733333
